"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CA110357","CA114720","CA139575","CA140404","CA140705","CA140717"
"group_2150","","hypothetical protein","2","2","1","1","429","241","6","","596","596","596","","CCHHBCMG_00347","","NFMMKAFD_00348","",""
"group_2151","","hypothetical protein","2","2","1","1","430","241","8","","1097","1097","1097","","CCHHBCMG_00348","","NFMMKAFD_00349","",""
"group_2152","rpe","Ribulose-phosphate 3-epimerase","2","2","1","1","379","222","1","","647","647","647","","CCHHBCMG_00351","","NFMMKAFD_00352","",""
"group_2153","bzaF","5-hydroxybenzimidazole synthase","2","2","1","1","381","222","3","","1292","1292","1292","","CCHHBCMG_00353","","NFMMKAFD_00354","",""
"group_2154","","hypothetical protein","2","2","1","1","382","222","4","","518","518","518","","CCHHBCMG_00354","","NFMMKAFD_00355","",""
"group_2155","","hypothetical protein","2","2","1","1","383","222","5","","527","527","527","","CCHHBCMG_00355","","NFMMKAFD_00356","",""
"group_2156","","hypothetical protein","2","2","1","1","384","222","6","","959","959","959","","CCHHBCMG_00356","","NFMMKAFD_00357","",""
"group_2157","","hypothetical protein","2","2","1","1","385","222","7","","650","650","650","","CCHHBCMG_00357","","NFMMKAFD_00358","",""
"group_2158","miaB","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","2","2","1","1","386","222","8","","1301","1301","1301","","CCHHBCMG_00358","","NFMMKAFD_00359","",""
"group_2159","","hypothetical protein","2","2","1","1","387","222","9","","242","242","242","","CCHHBCMG_00359","","NFMMKAFD_00360","",""
"group_2160","nusA","Transcription termination/antitermination protein NusA","2","2","1","1","388","222","10","","1088","1088","1088","","CCHHBCMG_00360","","NFMMKAFD_00361","",""
"group_2161","yecS","L-cystine transport system permease protein YecS","2","2","1","1","449","242","3","","701","701","701","","CCHHBCMG_00367","","NFMMKAFD_00368","",""
"glnQ_1","","Glutamine transport ATP-binding protein GlnQ","2","2","1","1","451","242","1","","737","737","737","","CCHHBCMG_00369","","NFMMKAFD_00370","",""
"group_2163","rplA","50S ribosomal protein L1","2","2","1","1","378","341","1","","701","701","701","","CCHHBCMG_00380","","NFMMKAFD_00381","",""
"group_2169","iolG","Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase","2","2","1","1","351","5","34","","836","836","836","","CCHHBCMG_00398","","NFMMKAFD_00398","",""
"group_2170","alaS","Alanine--tRNA ligase","2","2","1","1","353","5","36","","2528","2528","2528","","CCHHBCMG_00400","","NFMMKAFD_00400","",""
"group_2171","maf","dTTP/UTP pyrophosphatase","2","2","1","1","354","5","37","","551","551","551","","CCHHBCMG_00401","","NFMMKAFD_00401","",""
"group_2172","pbpF","Penicillin-binding protein 1F","2","2","1","1","355","5","38","","1931","1931","1931","","CCHHBCMG_00402","","NFMMKAFD_00402","",""
"group_2173","clpB","Chaperone protein ClpB","2","2","1","1","356","5","39","","2573","2573","2573","","CCHHBCMG_00403","","NFMMKAFD_00403","",""
"ctpB","","Carboxy-terminal processing protease CtpB","2","2","1","1","358","5","41","","1319","1319","1319","","CCHHBCMG_00405","","NFMMKAFD_00405","",""
"group_2175","purC","Phosphoribosylaminoimidazole-succinocarboxamide synthase","2","2","1","1","359","5","42","","710","710","710","","CCHHBCMG_00406","","NFMMKAFD_00406","",""
"group_2176","purS","Phosphoribosylformylglycinamidine synthase subunit PurS","2","2","1","1","360","5","43","","245","245","245","","CCHHBCMG_00407","","NFMMKAFD_00407","",""
"group_2177","","hypothetical protein","2","2","1","1","362","5","45","","1196","1196","1196","","CCHHBCMG_00409","","NFMMKAFD_00409","",""
"group_2178","","hypothetical protein","2","2","1","1","363","5","46","","692","692","692","","CCHHBCMG_00410","","NFMMKAFD_00410","",""
"group_2179","crcB","Putative fluoride ion transporter CrcB","2","2","1","1","364","5","47","","368","368","368","","CCHHBCMG_00411","","NFMMKAFD_00411","",""
"group_2180","","hypothetical protein","2","2","1","1","370","250","1","","317","317","317","","CCHHBCMG_00413","","NFMMKAFD_00413","",""
"penA","","putative peptidoglycan D,D-transpeptidase PenA","2","2","1","1","511","250","3","","1808","1808","1808","","CCHHBCMG_00418","","NFMMKAFD_00417","",""
"group_2184","fliE","Flagellar hook-basal body complex protein FliE","2","2","1","1","512","250","2","","296","296","296","","CCHHBCMG_00419","","NFMMKAFD_00418","",""
"group_2185","mltG","Endolytic murein transglycosylase","2","2","1","1","515","277","4","","779","779","779","","CCHHBCMG_00422","","NFMMKAFD_00421","",""
"group_2186","","hypothetical protein","2","2","1","1","516","277","3","","2570","2570","2570","","CCHHBCMG_00423","","NFMMKAFD_00422","",""
"group_2187","icd2","Isocitrate dehydrogenase [NADP] 2","2","2","1","1","517","277","2","","2204","2204","2204","","CCHHBCMG_00424","","NFMMKAFD_00423","",""
"group_2188","mdh","Malate dehydrogenase","2","2","1","1","518","277","1","","902","902","902","","CCHHBCMG_00425","","NFMMKAFD_00424","",""
"group_2189","","hypothetical protein","2","2","1","1","528","259","6","","263","263","263","","CCHHBCMG_00432","","NFMMKAFD_00431","",""
"group_2190","","hypothetical protein","2","2","1","1","529","259","5","","536","536","536","","CCHHBCMG_00433","","NFMMKAFD_00432","",""
"group_2191","ispB","Octaprenyl diphosphate synthase","2","2","1","1","530","259","4","","893","893","893","","CCHHBCMG_00434","","NFMMKAFD_00433","",""
"group_2192","hemA","Glutamyl-tRNA reductase","2","2","1","1","531","259","3","","1298","1298","1298","","CCHHBCMG_00435","","NFMMKAFD_00434","",""
"group_2193","proS","Proline--tRNA ligase","2","2","1","1","532","259","2","","1706","1706","1706","","CCHHBCMG_00436","","NFMMKAFD_00435","",""
"group_2194","","hypothetical protein","2","2","1","1","533","259","1","","389","389","389","","CCHHBCMG_00437","","NFMMKAFD_00436","",""
"group_2195","","hypothetical protein","2","2","1","1","1796","2","1","","692","692","692","","CCHHBCMG_00445","","NFMMKAFD_00444","",""
"group_2196","","hypothetical protein","2","2","1","1","1797","2","2","","953","953","953","","CCHHBCMG_00446","","NFMMKAFD_00445","",""
"group_2197","","hypothetical protein","2","2","1","1","1798","2","3","","1004","1004","1004","","CCHHBCMG_00447","","NFMMKAFD_00446","",""
"group_2198","","hypothetical protein","2","2","1","1","1799","2","4","","1286","1286","1286","","CCHHBCMG_00448","","NFMMKAFD_00447","",""
"group_2199","","4-sulfomuconolactone hydrolase","2","2","1","1","1800","2","5","","797","797","797","","CCHHBCMG_00449","","NFMMKAFD_00448","",""
"group_2200","","hypothetical protein","2","2","1","1","1801","2","6","","1085","1085","1085","","CCHHBCMG_00450","","NFMMKAFD_00449","",""
"group_2201","proA","Gamma-glutamyl phosphate reductase","2","2","1","1","1802","2","112","","1232","1232","1232","","CCHHBCMG_00451","","NFMMKAFD_00450","",""
"group_2202","","Ferredoxin--NADP reductase","2","2","1","1","1803","2","111","","935","935","935","","CCHHBCMG_00452","","NFMMKAFD_00451","",""
"group_2203","mepA","Multidrug export protein MepA","2","2","1","1","1804","2","110","","1328","1328","1328","","CCHHBCMG_00453","","NFMMKAFD_00452","",""
"group_2204","","hypothetical protein","2","2","1","1","1805","2","109","","929","929","929","","CCHHBCMG_00454","","NFMMKAFD_00453","",""
"group_2205","dnaB","Replicative DNA helicase","2","2","1","1","1806","2","108","","1376","1376","1376","","CCHHBCMG_00455","","NFMMKAFD_00454","",""
"group_2206","","hypothetical protein","2","2","1","1","1807","2","107","","560","560","560","","CCHHBCMG_00456","","NFMMKAFD_00455","",""
"group_2210","","hypothetical protein","2","2","1","1","1812","2","102","","1067","1067","1067","","CCHHBCMG_00461","","NFMMKAFD_00460","",""
"group_2211","ribBA","Riboflavin biosynthesis protein RibBA","2","2","1","1","1814","2","98","","1019","1019","1019","","CCHHBCMG_00465","","NFMMKAFD_00464","",""
"group_2212","yqeY","putative protein YqeY","2","2","1","1","1815","2","97","","443","443","443","","CCHHBCMG_00466","","NFMMKAFD_00465","",""
"ilvI","","Acetolactate synthase isozyme 3 large subunit","2","2","1","1","1816","2","96","","1700","1700","1700","","CCHHBCMG_00467","","NFMMKAFD_00466","",""
"group_2214","ilvH","Acetolactate synthase isozyme 3 small subunit","2","2","1","1","1817","2","95","","464","464","464","","CCHHBCMG_00468","","NFMMKAFD_00467","",""
"group_2215","lpxD","UDP-3-O-acylglucosamine N-acyltransferase","2","2","1","1","1818","2","94","","965","965","965","","CCHHBCMG_00469","","NFMMKAFD_00468","",""
"group_2216","queA","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","2","2","1","1","1819","2","93","","1028","1028","1028","","CCHHBCMG_00470","","NFMMKAFD_00469","",""
"group_2217","tatC","Sec-independent protein translocase protein TatC","2","2","1","1","1820","2","92","","737","737","737","","CCHHBCMG_00471","","NFMMKAFD_00470","",""
"group_2218","tatB","Sec-independent protein translocase protein TatB","2","2","1","1","1821","2","91","","416","416","416","","CCHHBCMG_00472","","NFMMKAFD_00471","",""
"group_2219","hemW","Heme chaperone HemW","2","2","1","1","1822","2","90","","1067","1067","1067","","CCHHBCMG_00473","","NFMMKAFD_00472","",""
"group_2220","rppH","RNA pyrophosphohydrolase","2","2","1","1","1823","2","89","","470","470","470","","CCHHBCMG_00474","","NFMMKAFD_00473","",""
"group_2221","","Aspartate kinase","2","2","1","1","1824","2","88","","1202","1202","1202","","CCHHBCMG_00475","","NFMMKAFD_00474","",""
"group_2222","","hypothetical protein","2","2","1","1","1825","2","87","","536","536","536","","CCHHBCMG_00476","","NFMMKAFD_00475","",""
"group_2223","ligA_1","DNA ligase","2","2","1","1","1829","2","37","","1943","1943","1943","","CCHHBCMG_00479","","NFMMKAFD_00478","",""
"group_2224","tlyA","16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA","2","2","1","1","1831","2","35","","761","761","761","","CCHHBCMG_00481","","NFMMKAFD_00480","",""
"group_2225","","hypothetical protein","2","2","1","1","1836","2","30","","632","632","632","","CCHHBCMG_00486","","NFMMKAFD_00485","",""
"group_2226","cbf2","Putative peptidyl-prolyl cis-trans isomerase Cbf2","2","2","1","1","1839","2","27","","821","821","821","","CCHHBCMG_00489","","NFMMKAFD_00488","",""
"group_2227","fba","Fructose-bisphosphate aldolase","2","2","1","1","1840","2","26","","1064","1064","1064","","CCHHBCMG_00490","","NFMMKAFD_00489","",""
"group_2228","","hypothetical protein","2","2","1","1","1841","2","25","","1442","1442","1442","","CCHHBCMG_00491","","NFMMKAFD_00490","",""
"group_2229","pal_1","Peptidoglycan-associated lipoprotein","2","2","1","1","1842","2","24","","953","953","953","","CCHHBCMG_00492","","NFMMKAFD_00491","",""
"group_2230","","hypothetical protein","2","2","1","1","1843","2","23","","875","875","875","","CCHHBCMG_00493","","NFMMKAFD_00492","",""
"group_2231","","hypothetical protein","2","2","1","1","1844","2","22","","1343","1343","1343","","CCHHBCMG_00494","","NFMMKAFD_00493","",""
"group_2232","dsbD","Thiol:disulfide interchange protein DsbD","2","2","1","1","1846","2","20","","1703","1703","1703","","CCHHBCMG_00496","","NFMMKAFD_00495","",""
"hipO_1","","Hippurate hydrolase","2","2","1","1","1849","2","16","","1190","1190","1190","","CCHHBCMG_00500","","NFMMKAFD_00497","",""
"group_2235","macA","Macrolide export protein MacA","2","2","1","1","1850","2","15","","1172","1172","1172","","CCHHBCMG_00501","","NFMMKAFD_00498","",""
"group_2236","macB","Macrolide export ATP-binding/permease protein MacB","2","2","1","1","1851","2","14","","1925","1925","1925","","CCHHBCMG_00502","","NFMMKAFD_00499","",""
"group_2237","tdeA","Toxin and drug export protein A","2","2","1","1","1852","2","13","","1370","1370","1370","","CCHHBCMG_00503","","NFMMKAFD_00500","",""
"group_2238","","hypothetical protein","2","2","1","1","1855","2","10","","1376","1376","1376","","CCHHBCMG_00506","","NFMMKAFD_00503","",""
"group_2239","ftn","Bacterial non-heme ferritin","2","2","1","1","1856","2","9","","503","503","503","","CCHHBCMG_00507","","NFMMKAFD_00504","",""
"group_2240","","hypothetical protein","2","2","1","1","1877","346","1","","611","611","611","","CCHHBCMG_00512","","NFMMKAFD_00509","",""
"group_2241","ilvC","Ketol-acid reductoisomerase (NADP(+))","2","2","1","1","1916","235","4","","1022","1022","1022","","CCHHBCMG_00525","","NFMMKAFD_00523","",""
"group_2242","","hypothetical protein","2","2","1","1","1918","235","8","","773","773","773","","CCHHBCMG_00527","","NFMMKAFD_00525","",""
"group_2243","yqgF","Putative pre-16S rRNA nuclease","2","2","1","1","1919","235","7","","383","383","383","","CCHHBCMG_00528","","NFMMKAFD_00526","",""
"group_2244","rsmF","Ribosomal RNA small subunit methyltransferase F","2","2","1","1","1920","235","6","","878","878","878","","CCHHBCMG_00529","","NFMMKAFD_00527","",""
"group_2245","adk","Adenylate kinase","2","2","1","1","1912","206","21","","578","578","578","","CCHHBCMG_00532","","NFMMKAFD_00530","",""
"group_2246","aspS","Aspartate--tRNA(Asp/Asn) ligase","2","2","1","1","1911","206","22","","1751","1751","1751","","CCHHBCMG_00533","","NFMMKAFD_00531","",""
"group_2247","pleD","Response regulator PleD","2","2","1","1","1908","206","19","","1244","1244","1244","","CCHHBCMG_00536","","NFMMKAFD_00534","",""
"group_2248","ycfH","putative metal-dependent hydrolase YcfH","2","2","1","1","1907","206","18","","815","815","815","","CCHHBCMG_00537","","NFMMKAFD_00535","",""
"group_2249","","hypothetical protein","2","2","1","1","1906","206","17","","1118","1118","1118","","CCHHBCMG_00538","","NFMMKAFD_00536","",""
"group_2250","rlpA","Endolytic peptidoglycan transglycosylase RlpA","2","2","1","1","1905","206","16","","827","830","828","","CCHHBCMG_00539","","NFMMKAFD_00537","",""
"kdsC","","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC","2","2","1","1","1904","206","15","","488","488","488","","CCHHBCMG_00540","","NFMMKAFD_00538","",""
"group_2252","","hypothetical protein","2","2","1","1","1903","206","14","","515","515","515","","CCHHBCMG_00541","","NFMMKAFD_00539","",""
"group_2253","lptA","Lipopolysaccharide export system protein LptA","2","2","1","1","1902","206","13","","461","461","461","","CCHHBCMG_00542","","NFMMKAFD_00540","",""
"group_2254","engB","putative GTP-binding protein EngB","2","2","1","1","1901","206","12","","596","596","596","","CCHHBCMG_00543","","NFMMKAFD_00541","",""
"group_2255","","hypothetical protein","2","2","1","1","1900","206","11","","494","494","494","","CCHHBCMG_00544","","NFMMKAFD_00542","",""
"group_2256","mrdA","Peptidoglycan D,D-transpeptidase MrdA","2","2","1","1","1899","206","10","","1805","1805","1805","","CCHHBCMG_00545","","NFMMKAFD_00543","",""
"group_2258","","hypothetical protein","2","2","1","1","314","206","6","","548","548","548","","CCHHBCMG_00548","","NFMMKAFD_00549","",""
"group_2259","","hypothetical protein","2","2","1","1","315","206","5","","1106","1106","1106","","CCHHBCMG_00549","","NFMMKAFD_00550","",""
"group_2260","","putative protein","2","2","1","1","309","279","5","","284","284","284","","CCHHBCMG_00555","","NFMMKAFD_00556","",""
"group_2262","rpoN","RNA polymerase sigma-54 factor","2","2","1","1","308","279","2","","1250","1250","1250","","CCHHBCMG_00558","","NFMMKAFD_00559","",""
"group_2266","","hypothetical protein","2","2","1","1","1965","265","1","","230","230","230","","CCHHBCMG_00573","","NFMMKAFD_00570","",""
"group_2267","","hypothetical protein","2","2","1","1","1966","265","5","","242","242","242","","CCHHBCMG_00574","","NFMMKAFD_00571","",""
"group_2268","","hypothetical protein","2","2","1","1","1967","265","4","","437","437","437","","CCHHBCMG_00575","","NFMMKAFD_00572","",""
"group_2269","priA","Primosomal protein N'","2","2","1","1","1968","265","3","","1853","1853","1853","","CCHHBCMG_00576","","NFMMKAFD_00573","",""
"group_2270","","hypothetical protein","2","2","1","1","1969","265","2","","1394","1394","1394","","CCHHBCMG_00577","","NFMMKAFD_00574","",""
"group_2271","flgH","Flagellar L-ring protein","2","2","1","1","300","239","1","","698","698","698","","CCHHBCMG_00579","","NFMMKAFD_00576","",""
"group_2272","","hypothetical protein","2","2","1","1","299","239","2","","1502","1502","1502","","CCHHBCMG_00580","","NFMMKAFD_00577","",""
"group_2273","","hypothetical protein","2","2","1","1","296","239","8","","491","491","491","","CCHHBCMG_00583","","NFMMKAFD_00580","",""
"group_2274","","hypothetical protein","2","2","1","1","295","239","7","","938","938","938","","CCHHBCMG_00584","","NFMMKAFD_00581","",""
"group_2275","rsmH","Ribosomal RNA small subunit methyltransferase H","2","2","1","1","294","239","6","","932","932","932","","CCHHBCMG_00585","","NFMMKAFD_00582","",""
"group_2276","ppiD","Peptidyl-prolyl cis-trans isomerase D","2","2","1","1","293","239","5","","1490","1490","1490","","CCHHBCMG_00586","","NFMMKAFD_00583","",""
"group_2277","flgG_1","Flagellar basal-body rod protein FlgG","2","2","1","1","283","345","1","","812","812","812","","CCHHBCMG_00589","","NFMMKAFD_00586","",""
"group_2278","","hypothetical protein","2","2","1","1","279","226","10","","695","695","695","","CCHHBCMG_00592","","NFMMKAFD_00589","",""
"rlhA","","23S rRNA 5-hydroxycytidine synthase","2","2","1","1","278","226","9","","1253","1253","1253","","CCHHBCMG_00593","","NFMMKAFD_00590","",""
"group_2280","purE","N5-carboxyaminoimidazole ribonucleotide mutase","2","2","1","1","277","226","8","","494","494","494","","CCHHBCMG_00594","","NFMMKAFD_00591","",""
"group_2281","","hypothetical protein","2","2","1","1","276","226","7","","536","536","536","","CCHHBCMG_00595","","NFMMKAFD_00592","",""
"group_2282","glyQ","Glycine--tRNA ligase alpha subunit","2","2","1","1","275","226","6","","863","863","863","","CCHHBCMG_00596","","NFMMKAFD_00593","",""
"group_2283","","GTP cyclohydrolase 1 type 2","2","2","1","1","274","226","5","","725","725","725","","CCHHBCMG_00597","","NFMMKAFD_00594","",""
"group_2284","","hypothetical protein","2","2","1","1","271","226","2","","752","752","752","","CCHHBCMG_00600","","NFMMKAFD_00597","",""
"group_2285","ffh","Signal recognition particle protein","2","2","1","1","270","226","1","","1337","1337","1337","","CCHHBCMG_00601","","NFMMKAFD_00598","",""
"group_2286","","hypothetical protein","2","2","1","1","217","234","1","","242","242","242","","CCHHBCMG_00603","","NFMMKAFD_00600","",""
"group_2287","rimM","Ribosome maturation factor RimM","2","2","1","1","216","234","9","","539","539","539","","CCHHBCMG_00604","","NFMMKAFD_00601","",""
"group_2288","trmD","tRNA (guanine-N(1)-)-methyltransferase","2","2","1","1","215","234","8","","704","704","704","","CCHHBCMG_00605","","NFMMKAFD_00602","",""
"group_2289","rplS","50S ribosomal protein L19","2","2","1","1","214","234","7","","356","356","356","","CCHHBCMG_00606","","NFMMKAFD_00603","",""
"group_2290","hiuH","5-hydroxyisourate hydrolase","2","2","1","1","213","234","6","","413","413","413","","CCHHBCMG_00607","","NFMMKAFD_00604","",""
"group_2291","aroH","Phospho-2-dehydro-3-deoxyheptonate aldolase","2","2","1","1","212","234","5","","1340","1340","1340","","CCHHBCMG_00608","","NFMMKAFD_00605","",""
"group_2292","","putative protein","2","2","1","1","211","234","4","","329","329","329","","CCHHBCMG_00609","","NFMMKAFD_00606","",""
"group_2293","dnaE","DNA polymerase III subunit alpha","2","2","1","1","210","234","3","","3602","3602","3602","","CCHHBCMG_00610","","NFMMKAFD_00607","",""
"group_2294","","Pyridoxal phosphate homeostasis protein","2","2","1","1","209","234","2","","632","632","632","","CCHHBCMG_00611","","NFMMKAFD_00608","",""
"group_2295","","hypothetical protein","2","2","1","1","248","293","3","","470","470","470","","CCHHBCMG_00613","","NFMMKAFD_00610","",""
"group_2297","hisJ","putative histidine-binding protein","2","2","1","1","227","34","9","","755","755","755","","CCHHBCMG_00621","","NFMMKAFD_00624","",""
"group_2299","","hypothetical protein","2","2","1","1","1203","220","6","","899","899","899","","CCHHBCMG_00625","","NFMMKAFD_01843","",""
"group_2300","","hypothetical protein","2","2","1","1","1204","220","5","","1268","1268","1268","","CCHHBCMG_00626","","NFMMKAFD_01844","",""
"group_2301","","hypothetical protein","2","2","1","1","1206","220","3","","359","359","359","","CCHHBCMG_00628","","NFMMKAFD_01846","",""
"group_2302","","hypothetical protein","2","2","1","1","1207","220","2","","587","587","587","","CCHHBCMG_00629","","NFMMKAFD_01847","",""
"group_2303","","hypothetical protein","2","2","1","1","1208","220","1","","359","359","359","","CCHHBCMG_00630","","NFMMKAFD_01848","",""
"group_2304","","hypothetical protein","2","2","1","1","1210","194","7","","317","317","317","","CCHHBCMG_00632","","NFMMKAFD_01850","",""
"group_2305","","hypothetical protein","2","2","1","1","1211","194","8","","1511","1511","1511","","CCHHBCMG_00633","","NFMMKAFD_01851","",""
"group_2306","","hypothetical protein","2","2","1","1","1212","194","9","","509","509","509","","CCHHBCMG_00634","","NFMMKAFD_01852","",""
"group_2309","","hypothetical protein","2","2","1","1","1217","194","14","","3494","3494","3494","","CCHHBCMG_00639","","NFMMKAFD_01696","",""
"group_2310","","hypothetical protein","2","2","1","1","1218","194","16","","1286","1286","1286","","CCHHBCMG_00640","","NFMMKAFD_01697","",""
"group_2311","","hypothetical protein","2","2","1","1","1224","194","21","","158","158","158","","CCHHBCMG_00646","","NFMMKAFD_01703","",""
"group_2314","","hypothetical protein","2","2","1","1","1226","194","23","","227","227","227","","CCHHBCMG_00649","","NFMMKAFD_01705","",""
"group_2317","","hypothetical protein","2","2","1","1","1230","194","27","","116","116","116","","CCHHBCMG_00653","","NFMMKAFD_01710","",""
"group_2318","","hypothetical protein","2","2","1","1","1231","194","28","","194","194","194","","CCHHBCMG_00654","","NFMMKAFD_01711","",""
"group_2319","","hypothetical protein","2","2","1","1","1232","194","29","","230","230","230","","CCHHBCMG_00655","","NFMMKAFD_01712","",""
"group_2320","","hypothetical protein","2","2","1","1","1233","194","30","","260","260","260","","CCHHBCMG_00656","","NFMMKAFD_01713","",""
"xerH_2","","Tyrosine recombinase XerH","2","2","1","1","1234","194","31","","599","599","599","","CCHHBCMG_00657","","NFMMKAFD_01714","",""
"group_2322","","hypothetical protein","2","2","1","1","1235","194","32","","350","350","350","","CCHHBCMG_00658","","NFMMKAFD_01715","",""
"group_2323","","hypothetical protein","2","2","1","1","1236","194","33","","107","107","107","","CCHHBCMG_00659","","NFMMKAFD_01716","",""
"group_2324","","hypothetical protein","2","2","1","1","1237","194","34","","767","767","767","","CCHHBCMG_00661","","NFMMKAFD_01718","",""
"group_2325","tgt","Queuine tRNA-ribosyltransferase","2","2","1","1","1238","194","81","","1121","1121","1121","","CCHHBCMG_00662","","NFMMKAFD_01719","",""
"group_2326","","hypothetical protein","2","2","1","1","1239","194","80","","1400","1400","1400","","CCHHBCMG_00663","","NFMMKAFD_01720","",""
"group_2327","aroB","3-dehydroquinate synthase","2","2","1","1","1240","194","79","","1055","1055","1055","","CCHHBCMG_00664","","NFMMKAFD_01721","",""
"group_2328","","hypothetical protein","2","2","1","1","1241","194","78","","1571","1571","1571","","CCHHBCMG_00665","","NFMMKAFD_01722","",""
"group_2329","mtaB","Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB","2","2","1","1","1242","194","77","","1250","1250","1250","","CCHHBCMG_00666","","NFMMKAFD_01723","",""
"group_2330","","hypothetical protein","2","2","1","1","1244","194","75","","416","416","416","","CCHHBCMG_00668","","NFMMKAFD_01725","",""
"group_2331","","hypothetical protein","2","2","1","1","1245","194","74","","518","518","518","","CCHHBCMG_00669","","NFMMKAFD_01726","",""
"group_2332","","hypothetical protein","2","2","1","1","1246","194","73","","512","512","512","","CCHHBCMG_00670","","NFMMKAFD_01727","",""
"group_2333","rpoD","RNA polymerase sigma factor RpoD","2","2","1","1","1247","194","72","","1868","1868","1868","","CCHHBCMG_00671","","NFMMKAFD_01728","",""
"group_2334","cysL","HTH-type transcriptional regulator CysL","2","2","1","1","1248","194","71","","881","881","881","","CCHHBCMG_00672","","NFMMKAFD_01729","",""
"group_2335","","hypothetical protein","2","2","1","1","1249","194","70","","1097","1097","1097","","CCHHBCMG_00673","","NFMMKAFD_01730","",""
"group_2336","","hypothetical protein","2","2","1","1","1250","194","69","","572","572","572","","CCHHBCMG_00674","","NFMMKAFD_01731","",""
"group_2337","rsmG","Ribosomal RNA small subunit methyltransferase G","2","2","1","1","1251","194","68","","566","566","566","","CCHHBCMG_00675","","NFMMKAFD_01732","",""
"group_2338","ribA","GTP cyclohydrolase-2","2","2","1","1","1252","194","67","","560","560","560","","CCHHBCMG_00676","","NFMMKAFD_01733","",""
"group_2339","hemB","Delta-aminolevulinic acid dehydratase","2","2","1","1","1253","194","66","","983","983","983","","CCHHBCMG_00677","","NFMMKAFD_01734","",""
"group_2340","","hypothetical protein","2","2","1","1","1255","194","64","","491","491","491","","CCHHBCMG_00679","","NFMMKAFD_01736","",""
"group_2341","hemN","Oxygen-independent coproporphyrinogen III oxidase","2","2","1","1","1256","194","63","","1355","1355","1355","","CCHHBCMG_00680","","NFMMKAFD_01737","",""
"group_2342","lutA_2","Lactate utilization protein A","2","2","1","1","1257","194","62","","1265","1265","1265","","CCHHBCMG_00681","","NFMMKAFD_01738","",""
"group_2343","","hypothetical protein","2","2","1","1","1258","194","61","","758","758","758","","CCHHBCMG_00682","","NFMMKAFD_01739","",""
"group_2344","","hypothetical protein","2","2","1","1","1259","194","60","","206","206","206","","CCHHBCMG_00683","","NFMMKAFD_01740","",""
"group_2345","","hypothetical protein","2","2","1","1","1260","194","59","","614","614","614","","CCHHBCMG_00684","","NFMMKAFD_01741","",""
"hipO_2","","Hippurate hydrolase","2","2","1","1","1261","194","58","","1151","1151","1151","","CCHHBCMG_00685","","NFMMKAFD_01742","",""
"group_2347","","hypothetical protein","2","2","1","1","1262","194","57","","740","740","740","","CCHHBCMG_00686","","NFMMKAFD_01743","",""
"group_2348","","hypothetical protein","2","2","1","1","1263","194","56","","1118","1118","1118","","CCHHBCMG_00687","","NFMMKAFD_01744","",""
"group_2349","glnH","ABC transporter glutamine-binding protein GlnH","2","2","1","1","1264","194","55","","839","839","839","","CCHHBCMG_00688","","NFMMKAFD_01745","",""
"group_2350","proP_3","Proline/betaine transporter","2","2","1","1","1265","194","54","","1247","1247","1247","","CCHHBCMG_00689","","NFMMKAFD_01746","",""
"group_2351","pepD","Cytosol non-specific dipeptidase","2","2","1","1","1266","194","53","","1268","1268","1268","","CCHHBCMG_00690","","NFMMKAFD_01747","",""
"group_2352","","hypothetical protein","2","2","1","1","1267","194","52","","527","527","527","","CCHHBCMG_00691","","NFMMKAFD_01748","",""
"group_2353","","hypothetical protein","2","2","1","1","1268","194","51","","173","173","173","","CCHHBCMG_00692","","NFMMKAFD_01749","",""
"fapR","","Transcription factor FapR","2","2","1","1","1269","194","50","","578","578","578","","CCHHBCMG_00693","","NFMMKAFD_01750","",""
"group_2355","cmoB","tRNA U34 carboxymethyltransferase","2","2","1","1","1270","194","49","","875","875","875","","CCHHBCMG_00694","","NFMMKAFD_01751","",""
"group_2360","ybgC","Acyl-CoA thioesterase YbgC","2","2","1","1","1277","194","39","","374","374","374","","CCHHBCMG_00699","","NFMMKAFD_01758","",""
"group_2361","","hypothetical protein","2","2","1","1","1278","194","37","","1190","1190","1190","","CCHHBCMG_00700","","NFMMKAFD_01759","",""
"group_2362","","hypothetical protein","2","2","1","1","1279","194","36","","608","608","608","","CCHHBCMG_00701","","NFMMKAFD_01760","",""
"group_2363","","hypothetical protein","2","2","1","1","1280","194","35","","479","479","479","","CCHHBCMG_00702","","NFMMKAFD_01761","",""
"group_2364","rnpA","Ribonuclease P protein component","2","2","1","1","1282","197","7","","326","326","326","","CCHHBCMG_00704","","NFMMKAFD_01763","",""
"group_2365","yidD","Putative membrane protein insertion efficiency factor","2","2","1","1","1283","197","8","","371","371","371","","CCHHBCMG_00705","","NFMMKAFD_01764","",""
